actor_id,gdp,year,created,last_updated,datasource_id
OC_ACTOR_10321,25035164000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10228,20256411000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10266,4300621000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10237,4031149000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10356,3468566000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10252,3198470000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10249,2778090000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10225,2200352000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10385,2133092000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10264,1996934000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10357,1973738000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10341,1894708000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10270,1734207000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10332,1724787000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10282,1424533000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10244,1389927000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10355,1289429000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10386,1010588000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10375,990583000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10398,853487000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10226,807418000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10379,716305000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10212,630698000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10311,603922000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10216,589491000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10394,534758000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10359,527179000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10262,519776000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10294,504703000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10374,504203000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10331,503913000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10349,469094000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10215,468046000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10219,460751000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10373,434059000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10405,423632000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10403,413808000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10326,411480000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10378,401662000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10240,386724000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10298,376493000000,2021,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10231,342919000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10227,310866000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10384,299885000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10236,295618000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10358,282876000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10247,281411000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10302,255854000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10297,242700000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10299,239333000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10361,224338000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10256,222008000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10383,221369000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10400,198316000000,2021,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10261,184651000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10364,183568000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10368,142874000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10211,124794000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10242,115469000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10362,114858000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10309,112418000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10241,112417000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10246,111181000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10376,108969000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10346,107352000000,2020,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10353,91318000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10335,85008000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10277,82154000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10402,82145000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10338,79704000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10401,79117000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10399,76582000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10351,75996000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10396,74439000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10367,73739000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10381,71161000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10320,71161000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10377,71085000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10333,70066000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10259,69380000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10344,68630000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10234,68489000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10276,68031000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10229,63909000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10391,62721000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10310,62191000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10286,59530000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10272,27320000000,2020,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10319,48352000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10360,48066000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10397,46282000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10345,44212000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10336,43544000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10340,43431000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10387,42762000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10365,40836000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10278,40588000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10245,39054000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10295,39028000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
