actor_id,revenue,revenue_year,employees,sector,market_index
OC_ACTOR_25,,2020.0,,,NULL
OC_ACTOR_36,,2020.0,,,NULL
OC_ACTOR_62,,2021.0,,,NULL
OC_ACTOR_64,,2020.0,,,NULL
OC_ACTOR_80,,,,,NULL
OC_ACTOR_184,,2012.0,,,NULL
OC_ACTOR_265,,,,,NULL
OC_ACTOR_269,17200001000.0,,81488.0,,NULL
OC_ACTOR_424,,2020.0,,,NULL
OC_ACTOR_428,,2020.0,,,NULL
OC_ACTOR_478,,,,,NULL
OC_ACTOR_512,,,,,NULL
OC_ACTOR_664,,,,,NULL
OC_ACTOR_666,,2021.0,,,NULL
OC_ACTOR_677,,2019.0,,,NULL
OC_ACTOR_679,,2019.0,,,NULL
OC_ACTOR_687,,2020.0,,,NULL
OC_ACTOR_693,,2021.0,,,NULL
OC_ACTOR_793,,,,,NULL
OC_ACTOR_805,,2019.0,,,NULL
OC_ACTOR_809,,,,,NULL
OC_ACTOR_811,,,,,NULL
OC_ACTOR_815,,,,,NULL
OC_ACTOR_818,,,,,NULL
OC_ACTOR_822,,,,,NULL
OC_ACTOR_853,,2018.0,,,NULL
OC_ACTOR_863,,,,,NULL
OC_ACTOR_892,,,,,NULL
OC_ACTOR_945,,,,,NULL
OC_ACTOR_989,,2021.0,,,NULL
OC_ACTOR_1075,,,,,NULL
OC_ACTOR_1085,,2021.0,,,NULL
OC_ACTOR_1126,,2011.0,,,NULL
OC_ACTOR_1170,,2021.0,,,NULL
OC_ACTOR_1171,,,,,NULL
OC_ACTOR_1179,,,,,NULL
OC_ACTOR_1219,,,,,NULL
OC_ACTOR_1220,,2020.0,,,NULL
OC_ACTOR_1232,,2020.0,,,NULL
OC_ACTOR_1269,,,,,NULL
OC_ACTOR_1332,,2020.0,,,NULL
OC_ACTOR_1351,,2020.0,,,NULL
OC_ACTOR_1401,,2015.0,,,NULL
OC_ACTOR_1428,,2020.0,,,NULL
OC_ACTOR_1458,,,,,NULL
OC_ACTOR_1463,,2021.0,,,NULL
OC_ACTOR_1466,,2020.0,,,NULL
OC_ACTOR_1471,,2021.0,,,NULL
OC_ACTOR_1481,,,,,NULL
OC_ACTOR_1482,,,,,NULL
OC_ACTOR_1485,,,,,NULL
OC_ACTOR_1506,,,,,NULL
OC_ACTOR_1521,,2020.0,,,NULL
OC_ACTOR_1614,,2014.0,,,NULL
OC_ACTOR_1681,,,,,NULL
OC_ACTOR_1727,,,,,NULL
OC_ACTOR_1791,,2020.0,,,NULL
OC_ACTOR_1832,,,,,NULL
OC_ACTOR_1902,,2021.0,,,NULL
OC_ACTOR_2186,,,,,NULL
OC_ACTOR_2225,,2019.0,,,NULL
OC_ACTOR_2342,,,,,NULL
OC_ACTOR_2346,,2021.0,,,NULL
OC_ACTOR_2361,,2019.0,,,NULL
OC_ACTOR_2375,,2021.0,,,NULL
OC_ACTOR_2385,,2022.0,,,NULL
OC_ACTOR_2394,,,,,NULL
OC_ACTOR_2440,,2018.0,,,NULL
OC_ACTOR_2505,,2018.0,,,NULL
OC_ACTOR_2530,,,,,NULL
OC_ACTOR_2569,,2019.0,,,NULL
OC_ACTOR_2584,,2020.0,,,NULL
OC_ACTOR_2618,,,,,NULL
OC_ACTOR_2624,,2017.0,,,NULL
OC_ACTOR_2625,,2017.0,,,NULL
OC_ACTOR_2630,,2021.0,,,NULL
OC_ACTOR_2708,,2020.0,,,NULL
OC_ACTOR_2723,,2020.0,,,NULL
OC_ACTOR_2797,,,,,NULL
OC_ACTOR_2848,,,,,NULL
OC_ACTOR_2856,,,,,NULL
OC_ACTOR_2858,,,,,NULL
OC_ACTOR_2874,,2021.0,,,NULL
OC_ACTOR_2890,,,,,NULL
OC_ACTOR_2896,,2021.0,,,NULL
OC_ACTOR_2908,,2021.0,,,NULL
OC_ACTOR_2958,,2020.0,,,NULL
OC_ACTOR_2962,,2021.0,,,NULL
OC_ACTOR_2968,,2020.0,,,NULL
OC_ACTOR_3001,,,,,NULL
OC_ACTOR_3041,,,,,NULL
OC_ACTOR_3055,,,,,NULL
OC_ACTOR_3066,,2021.0,,,NULL
OC_ACTOR_3070,,2020.0,,,NULL
OC_ACTOR_3084,,,,,NULL
OC_ACTOR_3095,,,,,NULL
OC_ACTOR_3096,,2019.0,,,NULL
OC_ACTOR_3115,,2020.0,,,NULL
OC_ACTOR_3117,,2020.0,,,NULL
OC_ACTOR_3130,,2021.0,,,NULL
OC_ACTOR_3162,,,,,NULL
OC_ACTOR_3257,,,,,NULL
OC_ACTOR_3408,,2021.0,,,NULL
OC_ACTOR_3411,,,,,NULL
OC_ACTOR_3478,,2020.0,,,NULL
OC_ACTOR_3657,,,,,NULL
OC_ACTOR_3658,,,,,NULL
OC_ACTOR_3690,,2020.0,,,NULL
OC_ACTOR_3790,,2015.0,,,NULL
OC_ACTOR_3812,,,,,NULL
OC_ACTOR_3865,,,,,NULL
OC_ACTOR_3867,,2019.0,,,NULL
OC_ACTOR_3892,,2020.0,,,NULL
OC_ACTOR_3896,,2020.0,,,NULL
OC_ACTOR_3933,,2020.0,,,NULL
OC_ACTOR_3960,,,,,NULL
OC_ACTOR_3961,,2021.0,,,NULL
OC_ACTOR_3986,,2021.0,,,NULL
