actor_id,population,year,created,last_updated,datasource_id
OC_ACTOR_1,16637,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_2,1339,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_3,247482,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_4,6451,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_5,244509,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_6,205809,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_7,83267,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_8,305000,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_9,28760,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_10,153553,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_11,6500,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_12,18206,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_13,9724,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_14,13110,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_15,31000,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_16,3249,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_17,2872,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_18,443,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_19,30000,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_20,200000,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_21,7509,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_22,213810,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_23,243510,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_24,456,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_25,5052000,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_26,1505,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_27,63332,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_28,19132,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_29,11521,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_30,1617,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_31,1358,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_32,10432,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_33,2470,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_34,2020,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_35,339,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_36,2514005,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_37,243,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_38,2623,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_39,2883,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_40,80121,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_41,3272,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_42,18080,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_43,29662,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_44,17479,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_45,5246,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_46,53122,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_47,284,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_48,4471,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_49,3016,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_50,5619,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_51,1882,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_52,4898,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_53,674,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_54,21000,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_55,1033,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_56,5500,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_57,21195,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_58,6799,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_59,698,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_60,498187,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_61,4476,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_62,3689000,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_63,46667,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_64,24807,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_65,1092,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_66,17585,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_67,11161,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_68,10804,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_69,3939,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_70,7303,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_71,2475,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_72,7734,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_73,1374,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_74,23195,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_75,35519,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_76,20264,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_77,6058,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_78,1942,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_79,63674,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_80,450000,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_81,5558,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_82,2065,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_83,590,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_84,7500,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_85,69000,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_86,27074,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_87,14121,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_88,59704,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_89,26490,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_90,62529,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_91,55191,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_92,15500,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_93,70000,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_94,20000,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_95,8500,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_96,22000,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_97,3405,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_98,5253,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_99,1875,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_100,101522,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_101,4251,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_102,4752,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_103,14365,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_104,5735,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_105,15035,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_106,583,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_107,57000,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_108,92608,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
